Year,Indicator.Name,Value
2017,R&D Expenditure (% GDP),0.118179999
2016,R&D Expenditure (% GDP),0.120339997
2015,R&D Expenditure (% GDP),0.102909997
2014,R&D Expenditure (% GDP),0.096050002
2013,R&D Expenditure (% GDP),0.0973
2010,R&D Expenditure (% GDP),0.132410005
2008,R&D Expenditure (% GDP),0.114440002
2006,R&D Expenditure (% GDP),0.174199998
2004,R&D Expenditure (% GDP),0.182099998
2000,R&D Expenditure (% GDP),0.143920004
1996,R&D Expenditure (% GDP),0.183559999
2022,Science Journal Articles,2482.89
2021,Science Journal Articles,2392.5
2020,Science Journal Articles,1795.73
2019,Science Journal Articles,1707.05
2018,Science Journal Articles,1458.51
2017,Science Journal Articles,1189.29
2016,Science Journal Articles,1124.15
2015,Science Journal Articles,753.68
2014,Science Journal Articles,705.68
2013,Science Journal Articles,732.88
2012,Science Journal Articles,608.18
2011,Science Journal Articles,570.82
2010,Science Journal Articles,504.44
2009,Science Journal Articles,486.54
2008,Science Journal Articles,512.94
2007,Science Journal Articles,437.51
2006,Science Journal Articles,388.76
2005,Science Journal Articles,335.67
2004,Science Journal Articles,265.29
2003,Science Journal Articles,264.86
2002,Science Journal Articles,245.5
2001,Science Journal Articles,215.68
2000,Science Journal Articles,209.36
1999,Science Journal Articles,208.12
1998,Science Journal Articles,199.01
1997,Science Journal Articles,212.17
1996,Science Journal Articles,167.89
2021,Patents - Nonresidents,273
2020,Patents - Nonresidents,251
2019,Patents - Nonresidents,255
2018,Patents - Nonresidents,260
2017,Patents - Nonresidents,266
2016,Patents - Nonresidents,293
2015,Patents - Nonresidents,263
2013,Patents - Nonresidents,188
2011,Patents - Nonresidents,235
2010,Patents - Nonresidents,235
2009,Patents - Nonresidents,200
2008,Patents - Nonresidents,264
2007,Patents - Nonresidents,279
2006,Patents - Nonresidents,270
2005,Patents - Nonresidents,211
2004,Patents - Nonresidents,195
2003,Patents - Nonresidents,189
2002,Patents - Nonresidents,202
2001,Patents - Nonresidents,236
2000,Patents - Nonresidents,250
1999,Patents - Nonresidents,248
1998,Patents - Nonresidents,158
1997,Patents - Nonresidents,193
1996,Patents - Nonresidents,114
1995,Patents - Nonresidents,113
1994,Patents - Nonresidents,57
1993,Patents - Nonresidents,77
1992,Patents - Nonresidents,91
1991,Patents - Nonresidents,92
1990,Patents - Nonresidents,83
1989,Patents - Nonresidents,94
1988,Patents - Nonresidents,92
1987,Patents - Nonresidents,90
1986,Patents - Nonresidents,103
1985,Patents - Nonresidents,80
1984,Patents - Nonresidents,78
1983,Patents - Nonresidents,85
1982,Patents - Nonresidents,76
1981,Patents - Nonresidents,102
1980,Patents - Nonresidents,67
2021,Patents - Residents,266
2020,Patents - Residents,353
2019,Patents - Residents,356
2018,Patents - Residents,343
2017,Patents - Residents,277
2016,Patents - Residents,280
2015,Patents - Residents,218
2013,Patents - Residents,328
2011,Patents - Residents,194
2010,Patents - Residents,225
2009,Patents - Residents,202
2008,Patents - Residents,201
2007,Patents - Residents,151
2006,Patents - Residents,153
2005,Patents - Residents,149
2004,Patents - Residents,120
2003,Patents - Residents,95
2002,Patents - Residents,123
2001,Patents - Residents,120
2000,Patents - Residents,71
1999,Patents - Residents,119
1998,Patents - Residents,54
1997,Patents - Residents,81
1996,Patents - Residents,50
1995,Patents - Residents,76
1994,Patents - Residents,36
1993,Patents - Residents,49
1992,Patents - Residents,36
1991,Patents - Residents,33
1990,Patents - Residents,23
1989,Patents - Residents,28
1988,Patents - Residents,26
1987,Patents - Residents,41
1986,Patents - Residents,26
1985,Patents - Residents,28
1984,Patents - Residents,16
1983,Patents - Residents,16
1982,Patents - Residents,12
1981,Patents - Residents,6
1980,Patents - Residents,11
2020,Researchers in R&D (/mil),104.5511703
2018,Researchers in R&D (/mil),104.0600433
2017,Researchers in R&D (/mil),104.7121811
2016,Researchers in R&D (/mil),105.0385895
2015,Researchers in R&D (/mil),104.0826187
2014,Researchers in R&D (/mil),97.08262634
2013,Researchers in R&D (/mil),107.9933167
2010,Researchers in R&D (/mil),104.0018997
2008,Researchers in R&D (/mil),97.70658112
2006,Researchers in R&D (/mil),92.73039246
2004,Researchers in R&D (/mil),138.0919952
2000,Researchers in R&D (/mil),135.4702606
1996,Researchers in R&D (/mil),188.8808441
2015,Technicians in R&D (/mil),74.70815
2014,Technicians in R&D (/mil),82.68991
2013,Technicians in R&D (/mil),60.88163
2010,Technicians in R&D (/mil),91.35446
2008,Technicians in R&D (/mil),78.61295
2006,Technicians in R&D (/mil),64.58173
2004,Technicians in R&D (/mil),76.02973
1996,Technicians in R&D (/mil),45.35237
2023,High-tech Exports (US$),112381343
2022,High-tech Exports (US$),103356170
2021,High-tech Exports (US$),94328328
2020,High-tech Exports (US$),83151264
2019,High-tech Exports (US$),90992885
2017,High-tech Exports (US$),79028241
2016,High-tech Exports (US$),67493927
2015,High-tech Exports (US$),63227842
2014,High-tech Exports (US$),71136595
2013,High-tech Exports (US$),72418950
2012,High-tech Exports (US$),60090878
2011,High-tech Exports (US$),71718329
2010,High-tech Exports (US$),62430443
2009,High-tech Exports (US$),46943092
2008,High-tech Exports (US$),103072721
2023,High-tech Exports (% of Mfg Exports),1.417238453
2022,High-tech Exports (% of Mfg Exports),1.086374577
2021,High-tech Exports (% of Mfg Exports),1.045191296
2020,High-tech Exports (% of Mfg Exports),1.256392806
2019,High-tech Exports (% of Mfg Exports),1.102104182
2017,High-tech Exports (% of Mfg Exports),1.019937052
2016,High-tech Exports (% of Mfg Exports),0.94390432
2015,High-tech Exports (% of Mfg Exports),0.891656259
2014,High-tech Exports (% of Mfg Exports),0.954466728
2013,High-tech Exports (% of Mfg Exports),1.039212636
2012,High-tech Exports (% of Mfg Exports),0.950920294
2011,High-tech Exports (% of Mfg Exports),1.035499503
2010,High-tech Exports (% of Mfg Exports),1.130072396
2009,High-tech Exports (% of Mfg Exports),0.97931974
2008,High-tech Exports (% of Mfg Exports),1.87768448
